cid,data_time,value
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-25,124810.07528142854
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-26,125177.40062146519
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-27,124082.11506285722
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-28,129120.08270047614
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-29,131094.07397333335
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-11-30,132848.81804380947
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-01,133975.58419523813
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-02,129051.80254791211
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-03,127821.78498476192
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-04,123956.65341190468
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-05,125827.9801585714
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-06,129407.8315376191
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-07,132709.85354047615
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-08,132999.49017761898
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-09,128060.7925961905
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-10,127522.28816571432
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-11,125992.47837428574
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-12,129103.95459322346
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-13,130490.81176238101
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-14,153740.2255666667
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-15,133293.80713761903
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-16,129723.44213846156
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-17,129922.23758619047
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-18,123972.18989666674
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-19,127567.31279476195
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-20,130152.3513542857
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-21,133861.18327047612
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-22,130888.39231827835
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-23,127161.99989142851
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-24,135521.9960681868
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-25,128072.47848428576
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-26,125885.3181923809
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-27,129564.32136380946
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-28,133283.23125243586
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-29,132943.22340476187
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-30,127193.52113142858
